"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","01 首页-数字概览","验证 各类达标情况  是否正确返回","0","0","1","0","0"
""," 05 培训学分查询","验证 操作","0","0","1","0","0"
""," 05 培训学分查询","验证 查询操作","0","0","1","0","0"
"","02 首页-学员详情","验证 查询功能","0","0","1","0","0"
""," 05 培训记录查询","验证 操作","0","0","1","0","0"
""," 05 培训记录统计","验证 操作","0","0","1","0","0"
"","01 首页-数字概览","验证 参训/达标走势图  是否正确返回","0","0","1","0","0"
"","04 培训计划报送","验证 查询操作","0","0","1","0","0"
"","03 首页-公司数据","验证 公司数据","0","0","1","0","0"
"","01 首页-数字概览","验证 总已参训人数/总计划人数相关字段、总达标人数/总参训人数  是否计算正确","0","0","1","0","0"
